Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
guanarito,guanarito,guanarito virus,virus,1,1,1,1,1,1,venezuelan haemorrhagic fever,"direct, environment, respiratory",1,0,NA,1,Venezuelan hemorrhagic fever,1
guaroa,guaroa,guaroa virus,virus,1,0,1,1,1,1,california encephalitis,vector,1,1,"mosquito (aedes, anopheles triseriatus, culex, psorophora)",0,NA,1
guinea pig adenovirus,guinea pig adenovirus,guinea pig adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
guinea pig type-c oncovirus,guinea pig type-c oncovirus,guinea pig type-c oncovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
h-1 parvovirus,h-1 parvovirus,h-1 parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster oral papillomavirus,hamster oral papillomavirus,hamster oral papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster parvovirus,hamster parvovirus,hamster parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster polyomavirus,hamster polyomavirus,hamster polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hantaan,hantaan,hantaan virus,virus,1,0,1,1,1,1,old world hantavirus,"direct, environmental, respiratory",1,0,NA,1,hemorrhagic fever with renal syndrome,1
hare fibroma,hare fibroma,hare fibroma virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hendra,hendra,hendra virus,virus,1,1,1,1,1,1,hendra virus disease,"direct, environmental, respiratory",1,0,NA,1,hendra virus,1
hepatitis a,hepatitis a,hepatitis a virus,virus,1,1,1,1,1,1,hepatitis a,"food, water, fecal-oral",1,0,NA,0,NA,1
hepatitis b,hepatitis b,hepatitis b virus,virus,1,1,1,1,1,1,hepatitis b,"direct, sexual, blood",1,0,NA,0,NA,0
hepatitis c,hepatitis c,hepatitis c virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hepatitis delta,hepatitis delta,hepatitis delta virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hepatitis e,hepatitis e,hepatitis e virus,virus,1,0,1,1,1,1,hepatitis e,"fecal-oral, water, food",1,0,NA,0,NA,1
highlands j,highlands j,highlands j virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hippotragine herpesvirus 1,hippotragine herpesvirus 1,hippotragine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human adenovirus a,human adenovirus a,human adenovirus a,virus,1,1,1,1,0,1,adenovirus infection,"respiratory, water",0,0,NA,0,NA,0
human adenovirus b,human adenovirus b,human adenovirus b,virus,1,1,1,1,1,1,adenovirus infection,"airborne, water",1,0,NA,0,NA,0
human adenovirus c,human adenovirus c,human adenovirus c,virus,1,1,1,1,1,1,adenovirus infection,"airborne, water",1,0,NA,0,NA,0
human adenovirus d,human adenovirus d,human adenovirus d,virus,1,1,1,1,0,1,adenovirus infection,respiratory,0,0,NA,0,NA,0
human adenovirus e,human adenovirus e,human adenovirus e,virus,1,1,1,1,0,1,adenovirus infection,respiratory,0,0,NA,0,NA,0
human adenovirus f,human adenovirus f,human adenovirus f,virus,1,1,1,1,0,1,adenovirus infection,respiratory,0,0,NA,0,NA,0
human astrovirus,human astrovirus,human astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human coronavirus 229e,human coronavirus 229e,human coronavirus 229e,virus,1,0,1,1,0,1,respiratory viruses (misc),"respiratory, direct",0,0,NA,0,NA,0
human coronavirus oc43,human coronavirus oc43,human coronavirus oc43,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human enterovirus a,enterovirus a,enterovirus a,virus,1,1,1,1,0,1,enterovirus infection,"fecal-oral, direct, respiratory",0,0,NA,0,NA,0
human enterovirus b,enterovirus b,enterovirus b,virus,1,1,1,1,0,1,NA,NA,0,0,NA,0,NA,0
human enterovirus c,human enterovirus c,human enterovirus c,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human enterovirus d,enterovirus d,enterovirus d,virus,1,1,1,1,0,1,enterovirus infection,"fecal-oral, direct, respiratory",0,0,NA,0,NA,0
human herpesvirus 1,human herpesvirus 1,human herpesvirus 1,virus,1,1,1,1,0,1,"herpes simplex encephalitis, herpes simplex","direct, sexual",0,0,NA,0,NA,0
human herpesvirus 2,human herpesvirus 2,human herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 3,human herpesvirus 3,human herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 4,human herpesvirus 4,human herpesvirus 4,virus,1,1,1,1,0,1,infectious mononucleosis,"blood, respiratory",0,0,NA,0,NA,0
human herpesvirus 5,human herpesvirus 5,human herpesvirus 5,virus,1,0,1,1,0,1,cytomegalovirus 5,"direct, sexual, fluid, respiratory",0,0,NA,0,NA,0
human herpesvirus 6,human herpesvirus 6,human herpesvirus 6,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 7,human herpesvirus 7,human herpesvirus 7,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 8,human herpesvirus 8,human herpesvirus 8,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human immunodeficiency virus 1,human immunodeficiency virus 1,human immunodeficiency virus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human immunodeficiency virus 2,human immunodeficiency virus 2,human immunodeficiency virus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human metapneumovirus,human metapneumovirus,human metapneumovirus,virus,1,1,1,1,0,1,metapneumovirus infection,"fluids, respiratory",0,0,NA,0,NA,0
human norovirus-alphatron,human norovirus-alphatron,human norovirus-alphatron,virus,1,1,1,1,0,1,viral gastoenteritis,"food, water",0,0,NA,0,NA,0
human papillomavirus 1,human papillomavirus 1,human papillomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 10,human papillomavirus 10,human papillomavirus 10,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 16,human papillomavirus 16,human papillomavirus 16,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 18,human papillomavirus 18,human papillomavirus 18,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 2,human papillomavirus 2,human papillomavirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 26,human papillomavirus 26,human papillomavirus 26,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 32,human papillomavirus 32,human papillomavirus 32,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 34,human papillomavirus 34,human papillomavirus 34,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 4,human papillomavirus 4,human papillomavirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 41,human papillomavirus 41,human papillomavirus 41,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 48,human papillomavirus 48,human papillomavirus 48,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 49,human papillomavirus 49,human papillomavirus 49,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 5,human papillomavirus 5,human papillomavirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 50,human papillomavirus 50,human papillomavirus 50,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 53,human papillomavirus 53,human papillomavirus 53,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 54,human papillomavirus 54,human papillomavirus 54,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 6,human papillomavirus 6,human papillomavirus 6,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 60,human papillomavirus 60,human papillomavirus 60,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 61,human papillomavirus 61,human papillomavirus 61,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 63,human papillomavirus 63,human papillomavirus 63,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 7,human papillomavirus 7,human papillomavirus 7,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 71,human papillomavirus 71,human papillomavirus 71,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 88,human papillomavirus 88,human papillomavirus 88,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 9,human papillomavirus 9,human papillomavirus 9,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus cand90,human papillomavirus cand90,human papillomavirus cand90,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus cand92,human papillomavirus cand92,human papillomavirus cand92,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus cand96,human papillomavirus cand96,human papillomavirus cand96,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human parainfluenza virus 1,human parainfluenza virus 1,human parainfluenza virus 1,virus,1,0,1,1,0,1,parainfluenza virus infection,respiratory,0,0,NA,0,NA,0
human parainfluenza virus 2,human parainfluenza virus 2,human parainfluenza virus 2,virus,1,0,1,1,0,1,parainfluenza virus infection,respiratory,0,0,NA,0,NA,0
human parainfluenza virus 3,human parainfluenza virus 3,human parainfluenza virus 3,virus,1,1,1,1,0,1,parainfluenza virus infection,respiratory,0,0,NA,0,NA,0
human parainfluenza virus 4,human parainfluenza virus 4,human parainfluenza virus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human parechovirus,human parechovirus,human parechovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human parvovirus b19,human parvovirus b19,human parvovirus b19,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human picobirnavirus,human picobirnavirus,human picobirnavirus,virus,1,1,1,1,0,1,viral gastoenteritis,"food, water",0,0,NA,0,NA,0
human polyomavirus,human polyomavirus,human polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human respiratory syncytial,human respiratory syncytial,human respiratory syncytial virus,virus,1,1,1,1,0,1,human respiratory syncytial virus infection,"fluids, respiratory",0,0,NA,0,NA,0
human rhinovirus a,human rhinovirus a,human rhinovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human rhinovirus b,human rhinovirus b,human rhinovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human torovirus,human torovirus,human torovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ife,ife,ife virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ilheus,ilheus,ilheus virus,virus,1,0,1,1,1,1,ilheus,vector,1,1,"mosquito (Aedes, Culex, Coquillettidia, Haemagogus, Psorophora, Sabethes, Trichoprosopon and Wyeomyia spp.",1,hantavirus infection,1
influenza a,influenza a,influenza a virus,virus,1,1,1,1,1,1,influenza,"respiratory, direct",1,0,NA,0,NA,1
influenza b,influenza b,influenza b virus,virus,1,1,1,1,1,1,influenza,"respiratory, direct",1,0,NA,0,NA,1
influenza c,influenza c,influenza c virus,virus,1,1,1,1,1,1,influenza,"respiratory, direct",1,0,NA,0,NA,1
ippy,ippy,ippy virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
irkut,irkut,irkut virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
isfahan,isfahan,isfahan virus,virus,1,0,0,1,1,1,vesicular stomatitis-related,vector,1,1,sandfly,0,NA,0
isla vista,isla vista,isla vista virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
issyk-kul,issyk-kul,issyk-kul virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
itaporanga,itaporanga,itaporanga virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
jaagsiekte sheep retrovirus,jaagsiekte sheep retrovirus,jaagsiekte sheep retrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
japanaut,japanaut,japanaut virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
japanese encephalitis,japanese encephalitis,japanese encephalitis virus,virus,1,0,1,1,1,1,japanese encephalitis,vector,1,1,"mosquito (aedes spp., anopheles barbirostris and hyrcanus groups, culex tritaeniorhynchus group and cu. annulus)",1,japanese encephalitis,1
jc polyomavirus,jc polyomavirus,jc polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
jugra,jugra,jugra virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
junin,junin,junin virus,virus,1,1,1,1,1,1,argentine haemorrhagic fever,"direct, food, water",1,0,NA,1,argentinian hemorrhagic fever,1
jurona,jurona,jurona virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
jutiapa,jutiapa,jutiapa virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
kaeng khoi,kaeng khoi,kaeng khoi virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
kairi,kairi,kairi virus,virus,1,0,1,1,1,1,bunyaviridae infections misc.,vector,1,1,mosquito,0,NA,1
kasokero,kasokero,kasokero virus,virus,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1
kern canyon,kern canyon,kern canyon virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
keuraliba,keuraliba,keuraliba virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
khabarovsk,khabarovsk,khabarovsk virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
khujand,khujand,khujand virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
kilham rat,kilham rat,kilham rat virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
kokobera,kokobera,kokobera virus,virus,1,0,1,1,1,1,barmah forest-related,vector,1,1,"mosquito (Aedes vigilax, Ae. camptorhynchus, Culex spp., Ae. normanensis and Coquillettidia spp)",0,NA,1
koongol,koongol,koongol virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
kotonkan,kotonkan,kotonkan virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
koutango,koutango,koutango virus,virus,1,1,1,1,1,1,spondweni,vector,1,1,"mosquito (Aedes circumluteolus, Armigeres, Culex, Eretmapodites, Mansonia)",0,NA,1
kyasanur forest disease,kyasanur forest disease,kyasanur forest disease virus,virus,1,1,1,1,1,1,kyasanur forest disease,vector,1,1,"tick (Haemaphysalis spinigera, H. turturis, H. papuana)",1,Tick-borne Encephalitis,1
lactate dehydrogenase-elevating,lactate dehydrogenase-elevating,lactate dehydrogenase-elevating virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lagos bat,lagos bat,lagos bat virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
laguna negra,laguna negra,laguna negra virus,virus,1,0,1,1,1,1,hantavirus pulmonary syndrome,"direct, environmental, respiratory",1,0,NA,1,hantavirus pulmonary syndrome,1
lake victoria marburgvirus,marburg,marburg marburgvirus,virus,1,1,1,1,1,1,marburg virus disease,"direct, environmental, fluids, respiratory",1,0,NA,1,marburg virus,1
langur,langur,langur virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lapine parvovirus,lapine parvovirus,lapine parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lassa,lassa,lassa virus,virus,1,1,1,1,1,1,lassa fever,"direct, food, environmental",1,0,NA,1,lassa fever,1
latino,latino,latino virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lebombo,lebombo,lebombo virus,virus,1,1,1,0,1,0,NA,vector,0,0,NA,0,NA,1
ljungan,ljungan,ljungan virus,virus,1,1,0,1,1,1,enterovirus infection,"fecal-oral, direct, respiratory",0,0,NA,1,enterovirus infecton,0
louping ill,louping ill,louping ill virus,virus,1,1,1,1,1,1,louping ill,"food, vector",1,1,tick (ixodes ricinus),0,NA,1
lumpy skin disease,lumpy skin disease,lumpy skin disease virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lymphocytic choriomeningitis,lymphocytic choriomeningitis,lymphocytic choriomeningitis virus,virus,1,1,1,1,1,1,lymphocytic choriomeningitis,"direct, food, respiratory",1,0,NA,1,encephalitis,1
macaque simian foamy,macaque simian foamy,macaque simian foamy virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
machupo,machupo,machupo virus,virus,1,0,1,1,1,1,bolivian hemorrhagic fever,"direct, food, water",1,0,NA,1,bolivian hemorrhagic fever,1
macropodid herpesvirus 1,macropodid herpesvirus 1,macropodid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
macropodid herpesvirus 2,macropodid herpesvirus 2,macropodid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
madrid,madrid,madrid virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
main drain,main drain virus,main drain virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mammalian orthoreovirus,mammalian orthoreovirus,mammalian orthoreovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
manzanilla,manzanilla,manzanilla virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mapuera,mapuera,mapuera virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
maraba,maraba,maraba virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
marituba,marituba,marituba virus,virus,1,1,1,1,1,1,group c viral fevers,vector,1,1,"mosquito (culex, aedes, limatus, wyeomyia, coquillettidia, mansonia, psophora)",0,NA,1
marmodid herpesvirus 1,marmodid herpesvirus 1,marmodid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mason-pfizer monkey,mason-pfizer monkey,mason-pfizer monkey virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mastomys natalensis papillomavirus,mastomys natalensis papillomavirus,mastomys natalensis papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mayaro,mayaro,mayaro virus,virus,1,0,1,1,1,1,mayaro,vector,1,1,mosquito (Haemagogus janthinomys),1,Mayaro Fever,1
measles,measles,measles virus,virus,1,1,1,1,1,1,measles,respiratory,0,0,NA,0,NA,1
menangle,menangle,menangle virus,virus,1,0,1,1,1,1,hendra virus associated disease,"direct, respiratory, environment",1,0,NA,1,menangle,1
middelburg,middelburg,middelburg virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
minatitlan,minatitlan,minatitlan virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mink astrovirus,mink astrovirus,mink astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mink calicivirus,mink calicivirus,mink calicivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mink enteric sapovirus,mink enteric sapovirus,mink enteric sapovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
minute virus of mice,minute virus of mice,minute virus of mice,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mobala,mobala,mobala virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
modoc,modoc,modoc virus,virus,1,0,0,1,1,1,viral encephalitis (st. louis-related),vector,1,1,"mosquito (Culex pipiens, Cx. tarsalis, Cx. nigripalpus, Cx. restuans, Cx. salinarius, Aedes, Sabethes)",0,NA,0
mokola,mokola,mokola virus,virus,1,1,1,1,1,1,NA,NA,0,0,NA,1,encephalitis,1
molluscum contagiosum,molluscum contagiosum,molluscum contagiosum virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
moloney murine sarcoma,moloney murine sarcoma,moloney murine sarcoma virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
monkeypox,monkeypox,monkeypox virus,virus,1,1,1,1,1,1,monkeypox,"direct, respiratory",1,0,NA,1,monkeypox,1
montana myotis leukoencephalitis,montana myotis leukoencephalitis,montana myotis leukoencephalitis virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mopeia,mopeia,mopeia virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mosso das pedras virus 78v3531,mosso das pedras virus 78v3531,mosso das pedras virus 78v3531,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mount elgon bat,mount elgon bat,mount elgon bat virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mouse mammary tumor,mouse mammary tumor,mouse mammary tumor virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mouse parvovirus 1,mouse parvovirus 1,mouse parvovirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mucambo,mucambo,mucambo virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
muleshoe,muleshoe,muleshoe virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mumps,mumps,mumps virus,virus,1,0,1,1,0,1,mumps,respiratory,0,0,NA,0,NA,0
murid herpesvirus 1,murid herpesvirus 1,murid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 2,murid herpesvirus 2,murid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 3,murid herpesvirus 3,murid herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 4,murid herpesvirus 4,murid herpesvirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 5,murid herpesvirus 5,murid herpesvirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine adenovirus a,murine adenovirus a,murine adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine adenovirus b,murine adenovirus b,murine adenovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine hepatitis,murine hepatitis,murine hepatitis virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine leukemia,murine leukemia,murine leukemia virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine norovirus 1,murine norovirus 1,murine norovirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine pneumonia,murine pneumonia,murine pneumonia virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine pneumotropic,murine pneumotropic,murine pneumotropic virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine polyomavirus,murine polyomavirus,murine polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murray valley encephalitis,murray valley encephalitis,murray valley encephalitis virus,virus,1,0,1,1,1,1,murray valley encephalitis,vector,1,1,"mosquito (aedes normanensis, culex annulirostris and cu. bitaeniorhynchus)",1,murray valley encephalitis,1
mustelid herpesvirus 1,mustelid herpesvirus 1,mustelid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
myxoma,myxoma,myxoma virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
nariva,nariva,nariva virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ndumu,ndumu,ndumu virus,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
nelson bay orthoreovirus,nelson bay orthoreovirus,nelson bay orthoreovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
new york,new york-1,new york virus,virus,1,1,1,1,1,1,hantavirus pulmonary syndrome,"direct, environment, respiratory",1,0,NA,1,Hantavirus Pulmonary Syndrome,1
newcastle disease,newcastle disease,newcastle disease virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
nipah,nipah,nipah virus,virus,1,1,1,1,1,1,nipah virus encephalitis,"food, direct, respiratory",1,0,NA,1,nipah virus,1
norwalk,norwalk,norwalk virus,virus,1,0,1,1,0,1,viral gastroenteritis,"water, food, environment",0,0,NA,0,NA,0
ntaya,ntaya,ntaya virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
nyando,nyando,nyando virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
oita,oita,oita virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
okola,okola,okola virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
oliveros,oliveros,oliveros virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
omsk hemorrhagic fever,omsk,omsk hemorrhagic fever virus,virus,1,1,1,1,1,1,omsk haemorrhagic fever,vector,1,1,tick (Dermacentor pictus and D. marginatus),1,tick-borne Encephalitis,1
o'nyong-nyong,o'nyong-nyong,o'nyong-nyong virus,virus,1,0,1,1,1,1,o'nyong-nyong,vector,1,1,mosquito (Anopheles funestus and An. Gambiae),0,NA,1
