Pathogen_Original,Synonym,InAssoc,Pathogen_Harmonised,Notes
parapoxvirus of red deer in new zealand,red deer parapoxvirus,FALSE,red deer parapoxvirus new zealand,
parechovirus a,human parechovirus,FALSE,human parechovirus,
parechovirus b,ljungan virus,FALSE,ljungan,
pasivirus a,,FALSE,pasivirus a,
patois orthobunyavirus,,FALSE,patois,
pegivirus a,gbv-a; hepatitis gb virus a; gb virus a,FALSE,gb virus a,
pegivirus b,gb virus d,FALSE,gb virus d,
peruvian horse sickness,,TRUE,peruvian horse sickness,
peste-des-petits-ruminants,pseudorinderpest virus; peste-des-petits-ruminants,TRUE,peste-des-petits-ruminants,
phipapillomavirus 1,,FALSE,phipapillomavirus 1,
phnom penh bat,phnom-penh bat virus,TRUE,phnom penh bat,
phocid alphaherpesvirus 1,"phhv-1; phocid herpesvirus 1; phocine herpesvirus type 1, etc.",FALSE,phocid herpesvirus 1,
phocid gammaherpesvirus 2,p0hv-2; phocid herpesvirus 2,FALSE,phocid herpesvirus 2,
phocine distemper,phocine distemper virus pdv; phocid distemper virus pdv; phocid distemper virus,TRUE,phocine distemper,
pichinde mammarenavirus,pichinde virus; pichinde arenavirus; pichind mammarenavirus,FALSE,pichinde,
pinniped bocaparvovirus 1,,FALSE,pinniped bocaparvovirus 1,
pinniped bocaparvovirus 2,,FALSE,pinniped bocaparvovirus 2,
pinniped dependoparvovirus 1,,FALSE,pinniped dependoparvovirus 1,
pipapillomavirus 1,hamster oral papillomavirus,FALSE,hamster oral papillomavirus,
pipapillomavirus 2,,FALSE,pipapillomavirus 2,
pipistrellus bat coronavirus hku5,bat coronavirus hku5,FALSE,bat coronavirus hku5,
pirital mammarenavirus,pirital virus,FALSE,pirital,
piry vesiculovirus,piry virus,FALSE,piry,
pixuna,,TRUE,pixuna,
porcine circovirus 1,porcine circovirus-1; porcine circovirus type 1,FALSE,porcine circovirus-1,
porcine circovirus 2,porcine circovirus-2; porcine circovirus type 2; porcine circovirus type ii,FALSE,porcine circovirus-2,
porcine epidemic diarrhea,porcine epidemic diarrhoea virus,TRUE,porcine epidemic diarrhea,
porcine mastadenovirus a,porcine adenovirus a,FALSE,porcine adenovirus a,
porcine mastadenovirus b,porcine adenovirus b,FALSE,porcine adenovirus b,
porcine mastadenovirus c,porcine adenovirus c,FALSE,porcine adenovirus c,
porcine reproductive and respiratory syndrome virus 1,porcine respiratory and reproductive syndrome virus,TRUE,porcine reproductive and respiratory syndrome virus 1,
porcine reproductive and respiratory syndrome virus 1,,TRUE,porcine reproductive and respiratory syndrome virus 1,
porcine rubulavirus,"lpmv; porpv; la-piedad-michoacan-mexico virus, etc.",TRUE,porcine rubulavirus,
porcine torovirus,,TRUE,porcine torovirus,
porcine type-c oncovirus,,TRUE,porcine type-c oncovirus,
possum atadenovirus a,possum adenovirus a; possum adenovirus,FALSE,possum adenovirus,
powassan,flavivirus powassan,TRUE,powassan,
primate bocaparvovirus 1,,FALSE,primate bocaparvovirus 1,
primate bocaparvovirus 2,,FALSE,primate bocaparvovirus 2,
primate erythroparvovirus 1,,FALSE,primate erythroparvovirus 1,
primate erythroparvovirus 2,,FALSE,primate erythroparvovirus 2,
primate erythroparvovirus 3,,FALSE,primate erythroparvovirus 3,
primate erythroparvovirus 4,,FALSE,primate erythroparvovirus 4,
primate protoparvovirus 1,,FALSE,primate protoparvovirus 1,
primate t-lymphotropic virus 1,human t-lymphotropic virus 1,TRUE,primate t-lymphotropic virus 1,
primate t-lymphotropic virus 2,,TRUE,primate t-lymphotropic virus 2,
primate t-lymphotropic virus 3,,TRUE,primate t-lymphotropic virus 3,
primate tetraparvovirus 1,,FALSE,primate tetraparvovirus 1,
prospect hill hantavirus,prospect hill virus,FALSE,prospect hill,
pseudocowpox,pseudocowpoxvirus,TRUE,pseudocowpox,
psipapillomavirus 1,,FALSE,psipapillomavirus 1,
puma lentivirus,puma lentivirus plv,TRUE,puma lentivirus,
punta toro phlebovirus,,FALSE,punta toro,
puumala hantavirus,"nephropathia epidemica virus; puumala virus; puumala virus pv, etc.",FALSE,puumala,
qalyub nairovirus,qalyub virus,FALSE,qalyub,
quaranfil,,TRUE,quaranfil,
rabbit fibroma,sfv; shope fibroma virus sfv; shope fibroma virus,TRUE,rabbit fibroma,
rabbit hemorrhagic disease,rabbit hemorrhagic disease virus rhdv; rabbit haemorrhagic disease virus,TRUE,rabbit hemorrhagic disease,
rabies lyssavirus,rabies virus,FALSE,rabies,
raccoonpox,racoon poxvirus; raccoon poxvirus; raccoon poxvirus rcn,TRUE,raccoonpox,
reston ebolavirus,rebov; reston ebola virus; ebola virus reston,TRUE,reston ebolavirus,
rhinolophus bat coronavirus hku2,bat coronavirus hku2,FALSE,bat coronavirus hku2,
rhinovirus a,human rhinovirus a,FALSE,human rhinovirus a,
rhinovirus b,human rhinovirus b,FALSE,human rhinovirus b,
rhinovirus c,human rhinovirus c,FALSE,human rhinovirus c,
rhopapillomavirus 1,,FALSE,rhopapillomavirus 1,
rift valley fever phlebovirus,,FALSE,rift valley,
rinderpest,rdv; rinderpest virus rv; rinderpest virus rpv,TRUE,rinderpest,
rio bravo,,TRUE,rio bravo,
rio mamore hantavirus,rio mamore virus,FALSE,rio mamore,
rio negro,,TRUE,rio negro,
rio segundo hantavirus,rio segundo virus; reithrodontomys mexicanus hantavirus,FALSE,rio segundo,
rodent erythroparvovirus 1,,FALSE,rodent erythroparvovirus 1,
rodent protoparvovirus 1,,FALSE,rodent protoparvovirus 1,
rodent protoparvovirus 2,,FALSE,rodent protoparvovirus 2,
rosavirus a,,FALSE,rosavirus a,
ross river,,TRUE,ross river,
rotavirus a,group a rotavirus; rotavirus group a; group a rotaviruses,TRUE,rotavirus a,
rotavirus b,"group b rotaviruses; rotavirus group b; rotavirus group b, etc.",TRUE,rotavirus b,
rotavirus c,group c rotavirus; rotavirus group c; group c rotaviruses,TRUE,rotavirus c,
rotavirus e,,TRUE,rotavirus e,
rotavirus h,,FALSE,rotavirus h,
rousettus bat coronavirus hku9,bat coronavirus hku9,FALSE,bat coronavirus hku9,
royal farm,,FALSE,royal farm,
rubella,,TRUE,rubella,
saaremaa hantavirus,saaremaa virus,FALSE,saaremaa,
sabia mammarenavirus,sabia virus; sabia arenavirus; sabi mammarenavirus,FALSE,sabia,
saboya,,TRUE,saboya,
saguinine gammaherpesvirus 1,,FALSE,callitrichine herpesvirus 1,
saimiriine alphaherpesvirus 1,"marmoset herpesvirus; squirrel monkey herpesvirus 1; herpesvirus tamarinus, etc.",FALSE,saimiriine herpesvirus 1,
saimiriine betaherpesvirus 4,saimiriine herpesvirus 4,FALSE,saimiriine herpesvirus 4,
saimiriine gammaherpesvirus 2,"herpesvirus saimiri; saimiriine herpesvirus 2; herpesvirus saimiri 2, etc.",FALSE,saimiriine herpesvirus 2,
sakobuvirus a,,FALSE,sakobuvirus a,
sal vieja,,TRUE,sal vieja,
salehabad phlebovirus,salehabad viru,FALSE,salehabad,
salivirus a,,FALSE,salivirus a,
san perlita,,TRUE,san perlita,
sandfly fever naples phlebovirus,,FALSE,sandfly fever naples,
sangassou hantavirus,sangassou virus,FALSE,sangassou,
sapelovirus a,porcine sapelovirus; porcine enterovirus a,FALSE,porcine sapelovirus,
sapelovirus b,simian sapelovirus,FALSE,simian sapelovirus,
sapporo,human calicivirus slv,TRUE,sapporo,
sathuperi orthobunyavirus,sathuperi virus,TRUE,sathuperi orthobunyavirus,
scotophilus bat coronavirus 512,"scotophilus bat coronavirus 512/05; bat coronavirus 512/2005; btcov/512/2005, etc.",FALSE,scotophilus bat coronavirus 512,
semliki forest,,TRUE,semliki forest,
sendai,murine parainfluenza virus 1,TRUE,sendai,
senecavirus a,seneca valley virus,FALSE,seneca valley,
seoul hantavirus,seoul virus; epidemic hemorrhagic fever virus,FALSE,seoul,
sepik,,TRUE,sepik,
severe acute respiratory syndrome-related coronavirus,,FALSE,severe acute respiratory syndrome coronavirus,
sfts phlebovirus,,FALSE,sfts phlebovirus,
shamonda orthobunyavirus,shamonda virus,FALSE,shamonda,
sheeppox,sheep pox virus,TRUE,sheeppox,
shimoni bat lyssavirus,shimoni bat virus,FALSE,shimoni bat virus,
shuni orthobunyavirus,shuni virus,FALSE,shuni,
sigmapapillomavirus 1,,FALSE,sigmapapillomavirus 1,
simbu orthobunyavirus,simbu virus group; simbu serogroup; simbu bunyavirus group,FALSE,simbu,
simian foamy,,TRUE,simian foamy,
simian hemorrhagic fever,,TRUE,simian hemorrhagic fever,
simian immunodeficiency,"simian immunodeficiency viruses siv; chimpanzee immunodeficiency virus; civ, etc.",TRUE,simian immunodeficiency,
simian mastadenovirus a,simian adenovirus a,FALSE,simian adenovirus a,
simian virus 41,"sv-41; simian paramyxovirus sv41; simian parainfluenza virus 41, etc.",FALSE,simian virus 41,
sin nombre hantavirus,sin nombre virus,FALSE,sin nombre,
sindbis,sindbis virus dssin,TRUE,sindbis,
skunkpox,,FALSE,skunkpox,
snyder-theilen feline sarcoma,feline sarcoma virus (strain snyder-theilen),FALSE,feline sarcoma,all feline sarcomas here are set to same - could be relaxed
southern elephant seal,seal louse virus,TRUE,southern elephant seal,
squirrel fibroma,,TRUE,squirrel fibroma,
squirrel monkey retrovirus,,TRUE,squirrel monkey retrovirus,
squirrelpox,squirrel poxvirus; squirrel parapoxvirus,FALSE,squirrel parapoxvirus,
st. louis encephalitis,saint louis encephalitis virus; st. louis encephalitis virus slev,TRUE,st. louis encephalitis,
sudan ebolavirus,sebov; ebolavirus sudan; sudan ebola virus,TRUE,sudan ebolavirus,
suid alphaherpesvirus 1,"prv; aujeszky's disease virus; suid herpesvirus 1, etc.",FALSE,suid herpesvirus 1,
suid betaherpesvirus 2,suid herpesvirus 2; porcine cytomegalovirus,FALSE,suid herpesvirus 2,
suid gammaherpesvirus 3,,FALSE,suid herpesvirus 3,
suid gammaherpesvirus 4,,FALSE,suid herpesvirus 4,
suid gammaherpesvirus 5,,FALSE,suid herpesvirus 5,
swinepox,,TRUE,swinepox,
tacaiuma orthobunyavirus,tacaiuma virus,FALSE,tacaiuma,
tacaribe mammarenavirus,tacv; tacaribe virus,FALSE,tacaribe,
tai forest ebolavirus,"ciebov; ivory coast ebolavirus; cote d'ivoire ebolavirus, etc.",TRUE,tai forest ebolavirus,
tamiami mammarenavirus,tamiami virus; tamiami arenavirus,FALSE,tamiami,
tanapox,,TRUE,tanapox,
taterapox,tatera gerbilpox virus,TRUE,taterapox,
tembusu,,TRUE,tembusu,
teschovirus a,porcine teschovirus,FALSE,porcine teschovirus,
thailand hantavirus,thailand virus,FALSE,thailand,
thiafora nairovirus,thiafora virus,TRUE,thiafora nairovirus,
thogoto,thogoto virus tho,TRUE,thogoto,
thottapalayam hantavirus,thottapalayam virus,FALSE,thottapalayam,
tibrogargan tibrovirus,tibrogargan virus,FALSE,tibrogargan,
tick-borne encephalitis,tick-borne encephalitis virus tbev; fsme virus,TRUE,tick-borne encephalitis,
timboteua orthobunyavirus,,FALSE,timboteua,
tonate,,TRUE,tonate,
topografov hantavirus,topografov virus,FALSE,topografov,
torque teno douroucouli,,FALSE,torque teno douroucouli,
torque teno felis,,TRUE,torque teno felis,
torque teno felis virus 2,,FALSE,torque teno felis virus 2,
torque teno midi virus 1,,FALSE,torque teno midi virus 1,
torque teno midi virus 10,,FALSE,torque teno midi virus 10,
torque teno midi virus 11,,FALSE,torque teno midi virus 11,
torque teno midi virus 12,,FALSE,torque teno midi virus 12,
torque teno midi virus 13,,FALSE,torque teno midi virus 13,
torque teno midi virus 14,,FALSE,torque teno midi virus 14,
torque teno midi virus 15,,FALSE,torque teno midi virus 15,
torque teno midi virus 2,,FALSE,torque teno midi virus 2,
torque teno midi virus 3,,FALSE,torque teno midi virus 3,
torque teno midi virus 4,,FALSE,torque teno midi virus 4,
torque teno midi virus 5,,FALSE,torque teno midi virus 5,
torque teno midi virus 6,,FALSE,torque teno midi virus 6,
torque teno midi virus 7,,FALSE,torque teno midi virus 7,
torque teno midi virus 8,,FALSE,torque teno midi virus 8,
torque teno midi virus 9,,FALSE,torque teno midi virus 9,
torque teno mini virus 1,,FALSE,torque teno mini virus 1,
torque teno mini virus 10,,FALSE,torque teno mini virus 10,
torque teno mini virus 11,,FALSE,torque teno mini virus 11,
torque teno mini virus 12,,FALSE,torque teno mini virus 12,
torque teno mini virus 2,,FALSE,torque teno mini virus 2,
torque teno mini virus 3,,FALSE,torque teno mini virus 3,
torque teno mini virus 4,,FALSE,torque teno mini virus 4,
torque teno mini virus 5,,FALSE,torque teno mini virus 5,
torque teno mini virus 6,,FALSE,torque teno mini virus 6,
torque teno mini virus 7,,FALSE,torque teno mini virus 7,
torque teno mini virus 8,,FALSE,torque teno mini virus 8,
torque teno mini virus 9,,FALSE,torque teno mini virus 9,
torque teno sus virus 1a,ttsv1a; torque teno sus virus 1,FALSE,torque teno sus virus 1,
torque teno sus virus 1b,ttsv1b; torque teno sus virus 2,FALSE,torque teno sus virus 2,
torque teno sus virus k2a,torque teno sus virus 3,FALSE,torque teno sus virus 3,
torque teno tamarin,,FALSE,torque teno tamarin,
torque teno tupaia,,TRUE,torque teno tupaia,
torque teno virus 1,,TRUE,torque teno virus 1,
torque teno virus 10,,FALSE,torque teno virus 10,
torque teno virus 11,,FALSE,torque teno virus 11,
torque teno virus 12,,FALSE,torque teno virus 12,
torque teno virus 13,,FALSE,torque teno virus 13,
torque teno virus 14,,TRUE,torque teno virus 14,
torque teno virus 15,,FALSE,torque teno virus 15,
torque teno virus 16,,FALSE,torque teno virus 16,
torque teno virus 17,,FALSE,torque teno virus 17,
torque teno virus 18,,FALSE,torque teno virus 18,
torque teno virus 19,,FALSE,torque teno virus 19,
torque teno virus 2,,TRUE,torque teno virus 2,
torque teno virus 20,,FALSE,torque teno virus 20,
torque teno virus 21,,FALSE,torque teno virus 21,
torque teno virus 22,,FALSE,torque teno virus 22,
torque teno virus 23,,TRUE,torque teno virus 23,
torque teno virus 24,,FALSE,torque teno virus 24,
torque teno virus 25,,FALSE,torque teno virus 25,
torque teno virus 26,,FALSE,torque teno virus 26,
torque teno virus 27,,FALSE,torque teno virus 27,
torque teno virus 28,,FALSE,torque teno virus 28,
torque teno virus 29,,FALSE,torque teno virus 29,
torque teno virus 3,,FALSE,torque teno virus 3,
torque teno virus 4,,FALSE,torque teno virus 4,
torque teno virus 5,,FALSE,torque teno virus 5,
torque teno virus 6,,FALSE,torque teno virus 6,
torque teno virus 7,,FALSE,torque teno virus 7,
torque teno virus 8,,FALSE,torque teno virus 8,
torque teno virus 9,,FALSE,torque teno virus 9,
torque teno zalophus virus 1,california sea lion anellovirus,FALSE,torque teno zalophus,
tree shrew mastadenovirus a,tree shrew adenovirus a; tree shrew adenovirus,FALSE,tree shrew adenovirus,
tula hantavirus,tula virus,FALSE,tula,
tupaia tupavirus,tupaia rhabdovirus; tupaia virus,FALSE,tupaia,
tupaiid betaherpesvirus 1,"tupaiid herpesvirus 1; herpesvirus tupaia 1; tupaia herpesvirus, etc.",FALSE,tupaia herpesvirus,
turlock orthobunyavirus,turlock virus; turlock serogroup; turlock bunyavirus group,FALSE,turlock,
tylonycteris bat coronavirus hku4,bat coronavirus hku4,FALSE,bat coronavirus hku4,
tyuleniy,tyuleniy virus tyuv,FALSE,tyuleniy,
uganda s,,TRUE,uganda s,
una,,TRUE,una,
ungulate bocaparvovirus 1,,FALSE,ungulate bocaparvovirus 1,
ungulate bocaparvovirus 2,,FALSE,ungulate bocaparvovirus 2,
ungulate bocaparvovirus 3,,FALSE,ungulate bocaparvovirus 3,
ungulate bocaparvovirus 4,,FALSE,ungulate bocaparvovirus 4,
ungulate bocaparvovirus 5,,FALSE,ungulate bocaparvovirus 5,
ungulate copiparvovirus 1,,FALSE,ungulate copiparvovirus 1,
ungulate copiparvovirus 2,,FALSE,ungulate copiparvovirus 2,
ungulate erythroparvovirus 1,,FALSE,ungulate erythroparvovirus 1,
ungulate protoparvovirus,,FALSE,ungulate protoparvovirus 1,
ungulate tetraparvovirus 1,,FALSE,ungulate tetraparvovirus 1,
ungulate tetraparvovirus 2,,FALSE,ungulate tetraparvovirus 2,
ungulate tetraparvovirus 3,,FALSE,ungulate tetraparvovirus 3,
ungulate tetraparvovirus 4,,FALSE,ungulate tetraparvovirus 4,
upsilonpapillomavirus 1,,FALSE,upsilonpapillomavirus 1,
upsilonpapillomavirus 3,,FALSE,upsilonpapillomavirus 3,
usutu,,TRUE,usutu,
uukuniemi phlebovirus,,FALSE,uukuniemi,
vaccinia,vaccinia virus vv,TRUE,vaccinia,
variola,smallpox virus; variola virus var,TRUE,variola,
venezuelan equine encephalitis,"venezuelan equine encephalomyelitis virus; venezuelan equine encephalitis vee; vee, etc.",TRUE,venezuelan equine encephalitis,
vesicular exanthema of swine,swine vesicular exanthema virus,TRUE,vesicular exanthema of swine,
visna/maedi,"visna virus; visna lentivirus; maedi-visna virus, etc.",TRUE,visna/maedi,
wad medani,wad medani complex,TRUE,wad medani,
wallal,wallal virus group,TRUE,wallal,
warrego,warrego virus group,TRUE,warrego,
wesselsbron,,TRUE,wesselsbron,
west caucasian bat lyssavirus,west caucasian bat virus,FALSE,west caucasian bat,
west nile,,TRUE,west nile,
western equine encephalitis,western equine encephalomyelitis virus,TRUE,western equine encephalitis,
whataroa,,FALSE,whataroa,
whitewater arroyo mammarenavirus,whitewater arroyo virus; whitewater arroyo virus strain av 9310135,FALSE,whitewater arroyo,
woodchuck hepatitis,woodchuck hepatitis b virus,TRUE,woodchuck hepatitis,
wyeomyia orthobunyavirus,wyeomyia virus,FALSE,wyeomyia,
xipapillomavirus 1,"bpv-3; bovine papillomavirus type 3; bovine papillomavirus 3, etc.",FALSE,bovine papillomavirus 3,
xipapillomavirus 2,,FALSE,bovine papillomavirus 12,
yaba monkey tumor,yaba virus,TRUE,yaba monkey tumor,
yaounde,,FALSE,yaounde,
yellow fever,yellow fever virus yfv; flavivirus febricis,TRUE,yellow fever,
yokose,,TRUE,yokose,
yunnan orbivirus,yunnan virus,FALSE,yunnan,
zaire ebolavirus,zaire ebola virus,TRUE,zaire ebolavirus,
zegla orthobunyavirus,,FALSE,egla,
zetapapillomavirus 1,equinus papillomavirus; equine papillomavirus 1,FALSE,equine papillomavirus 1,
zika,,TRUE,zika,
