"name","exact","type","order","class","family","genus","species","rg_updated","species_updated","class_updated","order_updated","family_updated","genus_updated","unresolved_notes"
"aichivirus b",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Kobuvirus","Aichivirus F",TRUE,"Aichivirus B","Pisoniviricetes","Picornavirales","Picornaviridae","Kobuvirus",""
"aichivirus c",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Kobuvirus","Aichivirus F",TRUE,"Aichivirus C","Pisoniviricetes","Picornavirales","Picornaviridae","Kobuvirus",""
"andes",FALSE,"viruses","Nidovirales","Pisoniviricetes","Coronaviridae","Deltacoronavirus","",TRUE,"Andes orthohantavirus","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus",""
"anopheles a",FALSE,"viruses","Picornavirales","Pisoniviricetes","Dicistroviridae","Cripavirus","Anopheles C virus",TRUE,"Anopheles A orthobunyavirus","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus",""
"anopheles b",FALSE,"viruses","Picornavirales","Pisoniviricetes","Dicistroviridae","Cripavirus","Anopheles C virus",TRUE,"Anopheles B orthobunyavirus","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus",""
"apoi",FALSE,"viruses","Nidovirales","Pisoniviricetes","Coronaviridae","Gammacoronavirus","Avian coronavirus",TRUE,"Apoi virus","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"arctic squirrel hepatitis",FALSE,"viruses","Blubervirales","Revtraviricetes","Hepadnaviridae","Orthohepadnavirus","Ground squirrel hepatitis virus",TRUE,"Ground squirrel hepatitis virus","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus",""
"aroa",FALSE,"viruses","Nidovirales","Pisoniviricetes","Coronaviridae","Gammacoronavirus","Avian coronavirus",TRUE,"Aroa virus","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"baboon polyomavirus 2",FALSE,"viruses","Sepolyvirales","Papovaviricetes","Polyomaviridae","","Simian virus 12",TRUE,"Papio cynocephalus polyomavirus 2","Papovaviricetes","Sepolyvirales","Polyomaviridae","Betapolyomavirus",""
"bat adenovirus a",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","","Bat adenovirus 1",TRUE,"Bat mastadenovirus A","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"bat adenovirus b",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","","Bat adenovirus 1",TRUE,"Bat mastadenovirus B","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"bat coronavirus hku2",FALSE,"viruses","Nidovirales","Pisoniviricetes","Coronaviridae","","Bat coronavirus 512",TRUE,"Rhinolophus bat coronavirus HKU2","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus",""
"bat coronavirus hku5",FALSE,"viruses","Nidovirales","Pisoniviricetes","Coronaviridae","Alphacoronavirus","Bat coronavirus TM5",TRUE,"Pipistrellus bat coronavirus HKU5","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus",""
"bat hepatitis",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Bat hepacivirus",TRUE,"Bat hepatitis virus","Revtraviricetes","Blubervirales","Hepadnaviridae","",""
"bebaru",FALSE,"viruses","Mononegavirales","Monjiviricetes","Nyamiviridae","Berhavirus","",TRUE,"Bebaru virus","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus",""
"benevides",FALSE,"viruses","Hepelivirales","Alsuviricetes","Benyviridae","Benyvirus","",TRUE,"Benevides orthobunyavirus","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus",""
"borna",FALSE,"viruses","Mononegavirales","Monjiviricetes","Bornaviridae","Orthobornavirus","",TRUE,"Mammalian 1 orthobornavirus ","Monjiviricetes","Mononegavirales","Bornaviridae","Orthobornavirus",""
"borna disease",FALSE,"viruses","Mononegavirales","Monjiviricetes","Bornaviridae","","Borna disease virus",TRUE,"Mammalian 1 orthobornavirus ","Monjiviricetes","Mononegavirales","Bornaviridae","Orthobornavirus",""
"bovine adenovirus a",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Bovine mastadenovirus B",TRUE,"Bovine mastadenovirus A","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"bovine adenovirus c",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Bovine mastadenovirus B",TRUE,"Bovine mastadenovirus C","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"bovine adenovirus d",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Bovine mastadenovirus B",TRUE,"Bovine mastadenovirus D","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"bovine adenovirus e",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Bovine mastadenovirus B",TRUE,"Bovine mastadenovirus E","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"bovine diarrhoea",FALSE,"viruses","Ortervirales","Revtraviricetes","Retroviridae","Lentivirus","",TRUE,"Pestivirus A","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"bovine norovirus-ch126",FALSE,"viruses","Nidovirales","Pisoniviricetes","Tobaniviridae","Torovirus","Bovine torovirus",TRUE,"Norwalk virus","Pisoniviricetes","Picornavirales","Caliciviridae","Norovirus",""
"bovine norovirus-jena",FALSE,"viruses","Nidovirales","Pisoniviricetes","Tobaniviridae","Torovirus","Bovine torovirus",TRUE,"Norwalk virus","Pisoniviricetes","Picornavirales","Caliciviridae","Norovirus",""
"bovine reovirus",FALSE,"viruses","Picornavirales","Pisoniviricetes","Caliciviridae","Nebovirus","Bovine nebovirus",TRUE,"Mammalian orthoreovirus","Resentoviricetes","Reovirales","Reoviridae","Orthoreovirus",""
"bovine rhinitis a",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Aphthovirus","Bovine rhinitis B virus",TRUE,"Bovine rhinitis A virus","Pisoniviricetes","Picornavirales","Picornaviridae","Aphthovirus",""
"bse agent",FALSE,"viruses","Reovirales","Resentoviricetes","Reoviridae","Rotavirus","Rotavirus B",TRUE,NA,"",NA,"","","not a virus"
"candiru",FALSE,"viruses","Bunyavirales","Ellioviricetes","Phenuiviridae","Bandavirus","",TRUE,"Candiru phlebovirus","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus",""
"caraparu",FALSE,"viruses","Bunyavirales","Ellioviricetes","Phasmaviridae","","Carapha virus",TRUE,"Caraparu orthobunyavirus","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus",""
"cardiovirus b",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Cardiovirus","Cardiovirus A",TRUE,"Cardiovirus B","Pisoniviricetes","Picornavirales","Picornaviridae","Cardiovirus",""
"cardiovirus c",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Cardiovirus","Cardiovirus A",TRUE,"Cardiovirus C","Pisoniviricetes","Picornavirales","Picornaviridae","Cardiovirus",""
"catu",FALSE,"viruses","Nidovirales","Pisoniviricetes","Mesoniviridae","Alphamesonivirus","Alphamesonivirus 1",TRUE,"Catu orthobunyavirus","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus",""
"caviid herpesvirus 1",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Iltovirus","Gaviid herpesvirus 1",TRUE,"Caviid herpesvirus 1","Herviviricetes","Herpesvirales","Herpesviridae","","unresolved; no clear match in NCBITaxonomy"
"caviid herpesvirus 3",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","","Caviid betaherpesvirus 2",TRUE,"Caviid herpesvirus 3","Herviviricetes","Herpesvirales","Herpesviridae","","unresolved; no clear match in NCBITaxonomy"
"cercopithecine herpesvirus 14",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Simplexvirus","Macacine alphaherpesvirus 1",TRUE,"Cercopithecine herpesvirus 14","Herviviricetes","Herpesvirales","Herpesviridae","","unresolved; no clear match in NCBITaxonomy"
"cosavirus a",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Cosavirus","Cosavirus F",TRUE,"Cosavirus A","Pisoniviricetes","Picornavirales","Picornaviridae","Cosavirus",""
"cowpox",FALSE,"viruses","Chitovirales","Pokkesviricetes","Poxviridae","Orthopoxvirus","Ectromelia virus",TRUE,"Cowpox virus","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus",""
"deer adenovirus",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","","Lemur adenovirus",TRUE,"Deer atadenovirus A","Tectiliviricetes","Rowavirales","Adenoviridae","Atadenovirus",""
"egla",FALSE,"viruses","Mononegavirales","Monjiviricetes","Filoviridae","Ebolavirus","Zaire ebolavirus",TRUE,"Zegla orthobunyavirus","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus",""
"enterovirus a",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Enterovirus E",TRUE,"Enterovirus A","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"enterovirus b",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Enterovirus E",TRUE,"Enterovirus B","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"enterovirus c",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Enterovirus E",TRUE,"Enterovirus C","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"enterovirus d",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Enterovirus E",TRUE,"Enterovirus D","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"enterovirus f",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Enterovirus E",TRUE,"Enterovirus F","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"enterovirus j",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Enterovirus E",TRUE,"Enterovirus J","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"equine adenovirus b",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Equine mastadenovirus A",TRUE,"Equine mastadenovirus B","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"equine rhinitis a",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Erbovirus","Erbovirus A",TRUE,"Equine rhinitis A virus","Pisoniviricetes","Picornavirales","Picornaviridae","Aphthovirus",""
"gb virus a",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepatitis GB virus B",TRUE,"Pegivirus A","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"gb virus c",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepatitis GB virus B",TRUE,"Pegivirus C","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"gb virus d",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepatitis GB virus B",TRUE,"Pegivirus B","Flasuviricetes","Amarillovirales","Flaviviridae","Pegivirus",""
"goat adenovirus",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Atadenovirus","Ovine atadenovirus D",TRUE,"Ovine atadenovirus D","Tectiliviricetes","Rowavirales","Adenoviridae","Atadenovirus",""
"guinea pig type-c oncovirus",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Guinea pig adenovirus",TRUE,"Guinea pig type-c oncovirus","Revtraviricetes","Ortervirales","Retroviridae","","unresolved; no clear match in NCBITaxonomy"
"hepatitis a",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepacivirus C",TRUE,"Hepatovirus A","Pisoniviricetes","Picornavirales","Picornaviridae","Hepatovirus",""
"hepatitis b",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepacivirus C",TRUE,"Hepatitis B virus","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus",""
"hepatitis e",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepacivirus C",TRUE,"Orthohepevirus A","Alsuviricetes","Hepelivirales","Hepeviridae","Orthohepevirus",""
"human adenovirus a",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus E",TRUE,"Human mastadenovirus A","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus b",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus G",TRUE,"Human mastadenovirus B","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus c",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus G",TRUE,"Human mastadenovirus C","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus d",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus B",TRUE,"Human mastadenovirus D","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus e",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus G",TRUE,"Human mastadenovirus E","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus f",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus G",TRUE,"Human mastadenovirus F","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human mastadenovirus g",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus C",TRUE,"Human mastadenovirus G","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human papillomavirus 71",FALSE,"viruses","Zurhausenvirales","Papovaviricetes","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 11",TRUE,"Alphapapillomavirus 14 ","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Alphapapillomavirus",""
"human rhinovirus b",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Rhinovirus A",TRUE,"Rhinovirus B","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"human rhinovirus c",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Rhinovirus A",TRUE,"Rhinovirus C","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"ife",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","","African elephant endotheliolytic herpesvirus",TRUE,"Ife virus","Resentoviricetes","Reovirales","Reoviridae","Orbivirus",""
"influenza a",FALSE,"viruses","Articulavirales","Insthoviricetes","Orthomyxoviridae","","unidentified influenza virus",TRUE,"Influenza A virus","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus",""
"influenza b",FALSE,"viruses","Articulavirales","Insthoviricetes","Orthomyxoviridae","","unidentified influenza virus",TRUE,"Influenza B virus","Insthoviricetes","Articulavirales","Orthomyxoviridae","Betainfluenzavirus",""
