"name","exact","type","order","class","family","genus","species","rg_updated","species_updated","class_updated","order_updated","family_updated","genus_updated","unresolved_notes"
"influenza c",FALSE,"viruses","Articulavirales","Insthoviricetes","Orthomyxoviridae","","unidentified influenza virus",TRUE,"Influenza C virus","Insthoviricetes","Articulavirales","Orthomyxoviridae","Gammainfluenzavirus",""
"isla vista",FALSE,"viruses","Picornavirales","Pisoniviricetes","Iflaviridae","","Isla virus",TRUE,"Isla Vista hantavirus","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus",""
"kairi",FALSE,"viruses","Martellivirales","Alsuviricetes","Kitaviridae","","",TRUE,"Kairi orthobunyavirus","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus",""
"lapine parvovirus",FALSE,"viruses","Piccovirales","Quintoviricetes","Parvoviridae","Protoparvovirus","Carnivore protoparvovirus 1",TRUE,"unclassified Protoparvovirus","Quintoviricetes","Piccovirales","Parvoviridae","Protoparvovirus",""
"lloviu",FALSE,"viruses","Picornavirales","Pisoniviricetes","Caliciviridae","Salovirus","",TRUE,"Lloviu cuevavirus","Monjiviricetes","Mononegavirales","Filoviridae","Cuevavirus",""
"luna",FALSE,"viruses","Patatavirales","Stelpaviricetes","Potyviridae","","Longan witches broom-associated virus",TRUE,"Luna mammarenavirus","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus",""
"marburg",FALSE,"viruses","Mononegavirales","Monjiviricetes","Filoviridae","Marburgvirus","",TRUE,"Marburg marburgvirus","Monjiviricetes","Mononegavirales","Filoviridae","Marburgvirus",""
"marmodid herpesvirus 1",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Simplexvirus","Macropodid alphaherpesvirus 1",TRUE,"Marmodid herpesvirus 1","Herviviricetes","Herpesvirales","Herpesviridae","","unresolved; no clear match in NCBITaxonomy"
"mobala",FALSE,"viruses","Mononegavirales","Monjiviricetes","Filoviridae","Ebolavirus","Zaire ebolavirus",TRUE,"Mobala mammarenavirus","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus",""
"mokola",FALSE,"viruses","Mononegavirales","Monjiviricetes","Filoviridae","Ebolavirus","Zaire ebolavirus",TRUE,"Mokola lyssavirus","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus",""
"murid herpesvirus 5",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Muromegalovirus","Murid betaherpesvirus 1",TRUE,"Murid herpesvirus 5","Herviviricetes","Herpesvirales","Herpesviridae","","unresolved; no clear match in NCBITaxonomy"
"murid herpesvirus 7",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Muromegalovirus","Murid betaherpesvirus 1",TRUE,"Murid gammaherpesvirus 7","Herviviricetes","Herpesvirales","Herpesviridae","Rhadinovirus",""
"murine adenovirus b",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Murine mastadenovirus A",TRUE,"Murine mastadenovirus B","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"murine adenovirus c",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Murine mastadenovirus A",TRUE,"Murine mastadenovirus C","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"nodamura",FALSE,"viruses","Nodamuvirales","Magsaviricetes","","","",TRUE,"Nodamura virus","Magsaviricetes","Nodamuvirales","Nodaviridae","Alphanodavirus",""
"okola",FALSE,"viruses","Mononegavirales","Monjiviricetes","Filoviridae","Ebolavirus","Zaire ebolavirus",TRUE,"Okola virus","Ellioviricetes","Bunyavirales","Peribunyaviridae","",""
"oliveros",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Orivirus","",TRUE,"Oliveros mammarenavirus","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus",""
"omsk",FALSE,"viruses","Algavirales","Megaviricetes","Phycodnaviridae","Prasinovirus","Ostreococcus mediterraneus virus 1",TRUE,"Omsk hemorrhagic fever virus","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"oran",FALSE,"viruses","Patatavirales","Stelpaviricetes","Potyviridae","Potyvirus","Ornithogalum mosaic virus",TRUE,"Andes orthohantavirus","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus",""
"orf",FALSE,"viruses","Patatavirales","Stelpaviricetes","Potyviridae","Potyvirus","Ornithogalum mosaic virus",TRUE,"Orf virus","Pokkesviricetes","Chitovirales","Poxviridae","Parapoxvirus",""
"orthohepevirus a",FALSE,"viruses","Hepelivirales","Alsuviricetes","Hepeviridae","Orthohepevirus","Orthohepevirus D",TRUE,"Orthohepevirus A","Alsuviricetes","Hepelivirales","Hepeviridae","Orthohepevirus",""
"orthohepevirus c",FALSE,"viruses","Hepelivirales","Alsuviricetes","Hepeviridae","Orthohepevirus","Orthohepevirus D",TRUE,"Orthohepevirus C","Alsuviricetes","Hepelivirales","Hepeviridae","Orthohepevirus",""
"ovine adenovirus a",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Ovine mastadenovirus C",TRUE,"Ovine mastadenovirus A","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"ovine adenovirus b",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Ovine mastadenovirus C",TRUE,"Ovine mastadenovirus B","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"ovine adenovirus d",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Ovine mastadenovirus C",TRUE,"Ovine atadenovirus D","Tectiliviricetes","Rowavirales","Adenoviridae","Atadenovirus",""
"patois",FALSE,"viruses","Imitervirales","Megaviricetes","Mimiviridae","Catovirus","",TRUE,"Patois orthobunyavirus","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus",""
"porcine adenovirus a",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Porcine mastadenovirus C",TRUE,"Porcine mastadenovirus A","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"porcine adenovirus b",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Porcine mastadenovirus C",TRUE,"Porcine mastadenovirus B","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"primate t-lymphotropic virus 4",FALSE,"viruses","Ortervirales","Revtraviricetes","Retroviridae","Deltaretrovirus","Primate T-lymphotropic virus 1",TRUE,"Human T-lymphotropic virus 4","Revtraviricetes","Ortervirales","Retroviridae","Deltaretrovirus",""
"rabies",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Rabovirus","",TRUE,"Rabies lyssavirus","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus",""
"rosavirus a",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Rosavirus","Rosavirus C",TRUE,"Rosavirus A","Pisoniviricetes","Picornavirales","Picornaviridae","Rosavirus",""
"ross river",FALSE,"viruses","","","","","Ross virus",TRUE,"Ross River virus","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus",""
"rotavirus a",FALSE,"viruses","Reovirales","Resentoviricetes","Reoviridae","Rotavirus","Rotavirus L",TRUE,"Rotavirus A","Resentoviricetes","Reovirales","Reoviridae","Rotavirus",""
"rotavirus b",FALSE,"viruses","Reovirales","Resentoviricetes","Reoviridae","Rotavirus","Rotavirus L",TRUE,"Rotavirus B","Resentoviricetes","Reovirales","Reoviridae","Rotavirus",""
"rotavirus c",FALSE,"viruses","Reovirales","Resentoviricetes","Reoviridae","Rotavirus","Rotavirus L",TRUE,"Rotavirus C","Resentoviricetes","Reovirales","Reoviridae","Rotavirus",""
"rotavirus e",FALSE,"viruses","Reovirales","Resentoviricetes","Reoviridae","Rotavirus","Rotavirus L",TRUE,"unclassified Rotavirus","Resentoviricetes","Reovirales","Reoviridae","Rotavirus",""
"rotavirus h",FALSE,"viruses","Reovirales","Resentoviricetes","Reoviridae","Rotavirus","Rotavirus L",TRUE,"Rotavirus H","Resentoviricetes","Reovirales","Reoviridae","Rotavirus",""
"rupicapra gammaherpesvirus 1",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","","Ruminantia gammaherpesvirus 1",TRUE,"Rupicapra rupicapra gammaherpesvirus 1","Herviviricetes","Herpesvirales","Herpesviridae","",""
"saboya",FALSE,"viruses","Mononegavirales","Monjiviricetes","Filoviridae","Ebolavirus","Zaire ebolavirus",TRUE,"Saboya virus","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"sal vieja",FALSE,"viruses","Picornavirales","Pisoniviricetes","Caliciviridae","Salovirus","",TRUE,"Sal Vieja virus","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"salem",FALSE,"viruses","Mononegavirales","Monjiviricetes","Paramyxoviridae","Salemvirus","",TRUE,"Salem salemvirus","Monjiviricetes","Mononegavirales","Paramyxoviridae","Salemvirus",""
"sciurid herpesvirus 2",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Muromegalovirus","Murid betaherpesvirus 2",TRUE,"Sciurid herpesvirus 2","Herviviricetes","Herpesvirales","Herpesviridae","","unresolved; no clear match in NCBITaxonomy"
"sealpox",FALSE,"viruses","Chitovirales","Pokkesviricetes","Poxviridae","Orthopoxvirus","Variola virus",TRUE,"Seal parapoxvirus","Pokkesviricetes","Chitovirales","Poxviridae","Parapoxvirus",""
"simian adenovirus a",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Simian adenovirus 7",TRUE,"Simian mastadenovirus A","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"simian virus 10",FALSE,"viruses","Sepolyvirales","Papovaviricetes","Polyomaviridae","","Simian virus 12",TRUE,"Human respirovirus 3","Monjiviricetes","Mononegavirales","Paramyxoviridae","Respirovirus",""
"suid herpesvirus 3",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Roseolovirus","Suid betaherpesvirus 2",TRUE,"Suid gammaherpesvirus 3","Herviviricetes","Herpesvirales","Herpesviridae","Macavirus",""
"suid herpesvirus 4",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Roseolovirus","Suid betaherpesvirus 2",TRUE,"Suid gammaherpesvirus 4","Herviviricetes","Herpesvirales","Herpesviridae","Macavirus",""
"suid herpesvirus 5",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Roseolovirus","Suid betaherpesvirus 2",TRUE,"Suid gammaherpesvirus 5","Herviviricetes","Herpesvirales","Herpesviridae","Macavirus",""
"tamdy",FALSE,"viruses","Patatavirales","Stelpaviricetes","Potyviridae","Potyvirus","Potato virus A",TRUE,"Tamdy virus","Ellioviricetes","Bunyavirales","Nairoviridae","Orthonairovirus",""
"tembusu",FALSE,"viruses","Tolivirales","Tolucaviricetes","Tombusviridae","Tombusvirus","",TRUE,"Tembusu virus","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"thogoto",FALSE,"viruses","Articulavirales","Insthoviricetes","Orthomyxoviridae","Thogotovirus","",TRUE,"Thogoto thogotovirus","Insthoviricetes","Articulavirales","Orthomyxoviridae","Thogotovirus",""
"tula",FALSE,"viruses","Patatavirales","Stelpaviricetes","Potyviridae","Potyvirus","Turnip mosaic virus",TRUE,"Tula orthohantavirus","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus",""
"tupaia",FALSE,"viruses","Mononegavirales","Monjiviricetes","Rhabdoviridae","Tupavirus","",TRUE,"Tupaia tupavirus","Monjiviricetes","Mononegavirales","Rhabdoviridae","Tupavirus",""
"vaccinia",FALSE,"viruses","Ortervirales","Revtraviricetes","Caulimoviridae","Vaccinivirus","",TRUE,"Vaccinia virus","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus",""
"volepox",FALSE,"viruses","Chitovirales","Pokkesviricetes","Poxviridae","Orthopoxvirus","Ectromelia virus",TRUE,"Volepox virus","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus",""
"pekania pennanti pennanti",FALSE,"hosts","Passeriformes","","","","Petronia petronia",TRUE,"Martes pennanti","Mammalia","Carnivora","Mustelidae","",""
"procyon pygmaeus",FALSE,"hosts","Primates","","","","Pongo pygmaeus",TRUE,"Procyon pygmaeus","Mammalia","Carnivora","Procyonidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"bos frontalis gaurus",FALSE,"hosts","Artiodactyla","","","","Bos frontalis x Bos taurus",TRUE,"Bos frontalis","Mammalia","Artiodactyla","Bovidae","",""
"bubalus bubalis arnee",FALSE,"hosts","Artiodactyla","","","","Bubalus carabanensis",TRUE,"Bubalus bubalis","Mammalia","Artiodactyla","Bovidae","",""
"nycteris gambiensis",FALSE,"hosts","Caprimulgiformes","","","","Nyctibius jamaicensis",TRUE,"Nycteris gambiensis","Mammalia","Chiroptera","Nycteridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"nycteris nana",FALSE,"hosts","Chiroptera","","","","Afronycteris nana",TRUE,"Nycteris nana","Mammalia","Chiroptera","Nycteridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"tadarida condylura",FALSE,"hosts","Gadiformes","","","","Nezumia condylura",TRUE,"Mops condylurus","Mammalia","Chiroptera","Molossidae","",""
"tadarida pumila",FALSE,"hosts","Chiroptera","","","","Tadarida fulminans",TRUE,"Chaerephon pumilus","Mammalia","Chiroptera","Molossidae","",""
"dorcopsis muelleri",FALSE,"hosts","Coraciiformes","","","","Merops muelleri",TRUE,"Dorcopsis muelleri","Mammalia","Diprotodontia","Macropodidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"crocidura zaphiri",FALSE,"hosts","Eulipotyphla","","","","Crocidura pachyura",TRUE,"Crocidura zaphiri","Mammalia","Eulipotyphla","Soricidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"piliocolobus semlikiensis",FALSE,"hosts","Primates","","","","Piliocolobus pennantii",TRUE,"Piliocolobus semlikiensis","Mammalia","Primates","Cercopithecidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"semnopithecus schistaceus",FALSE,"hosts","Passeriformes","","","","Thamnophilus schistaceus",TRUE,"Semnopithecus schistaceus","Mammalia","Primates","Cercopithecidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"coendou rothschildi",FALSE,"hosts","Passeriformes","","","","Cyanoloxia rothschildii",TRUE,"Coendou rothschildi","Mammalia","Rodentia","Erethizontidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"funambulus tristriatus",FALSE,"hosts","Rodentia","","","","Funambulus sublineatus",TRUE,"Funambulus tristriatus","Mammalia","Rodentia","Sciuridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"funisciurus congicus",FALSE,"hosts","Rodentia","","","","Funisciurus pyrropus",TRUE,"Funisciurus congicus","Mammalia","Rodentia","Sciuridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"funisciurus lemniscatus",FALSE,"hosts","Squamata","","","","Micrurus lemniscatus",TRUE,"Funisciurus lemniscatus","Mammalia","Rodentia","Sciuridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"madromys blanfordi",FALSE,"hosts","Rodentia","","","","Jaculus blanfordi",TRUE,"Madromys blanfordi","Mammalia","Rodentia","Muridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"meriones hurrianae",FALSE,"hosts","Rodentia","","","","Meriones meridianus",TRUE,"Meriones hurrianae","Mammalia","Rodentia","Muridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"pelomys isseli",FALSE,"hosts","Rodentia","","","","Melomys paveli",TRUE,"Pelomys isseli","Mammalia","Rodentia","Muridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
